usuario,1,1,K,UsuNom,Nombre,Nombre del usuario,A,80,,,,,,Nombre completo.
usuario,2,1,K,UsuCor,Correo,Correo electrónico del usuario,A,130,,,,Único,,Clave primaria alternativa.
usuario,3,1,,UsuCon,Contraseña,Contraseña cifrada del usuario,A,130,,,,,,Se almacena cifrada.
usuario,4,1,,UsuFecReg,Fecha de Registro,Fecha de creación del usuario,D,,,,,,,
usuario,5,1,,UsuEst,Estado,Estado del usuario (activo/inactivo),A,40,,,,A/I,,Usado para habilitar/deshabilitar accesos.
rol,1,1,K,RolNom,Nombre del Rol,Nombre del rol del sistema,A,40,,,,Único,,Clave principal.
rol,2,1,,RolDes,Descripción,Descripción del rol,A,160,,,,,,
usuario_rol,1,1,FK,UsuRolUsu,Usuario,Usuario asignado al rol,A,,,,,Ref usuario,,
usuario_rol,2,1,FK,UsuRolRol,Rol,Rol asignado al usuario,A,,,,,Ref rol,,Relaciona usuarios con roles.
suscripcion,1,1,FK,SusUsu,Usuario,Usuario suscrito,A,,,,,Ref usuario,,
suscripcion,2,1,FK,SusPla,Plan,Plan de suscripción,A,,,,,Ref plan,,
suscripcion,3,1,,SusFecIni,Fecha Inicio,Fecha de inicio de la suscripción,D,,,,,,,
suscripcion,4,1,,SusFecFin,Fecha Fin,Fecha de finalización,D,,,,,Obligatoria,,
suscripcion,5,1,,SusEst,Estado,Estado de la suscripción,A,40,,,,Activa/Inactiva,,
plan,1,1,K,PlaNom,Nombre del Plan,Nombre del plan de suscripción,A,40,,,,Único,,Clave principal.
plan,2,1,,PlaPreMen,Precio Mensual,Costo mensual del plan,N,10,2,,,,,
plan,3,1,,PlaDes,Descripción,Descripción del plan,A,160,,,,,,
plan,4,1,,PlaIncluAna,Incluye Análisis Avanzado,Si el plan permite funciones avanzadas,A,40,,,,Sí/No,,
imagen,1,1,K,ImgUrl,URL,Ruta de almacenamiento de la imagen,A,130,,,,Único,,Clave primaria.
imagen,2,1,,ImgTamKB,Tamaño KB,Tamaño del archivo de imagen en kilobytes,N,,,,,,,
imagen,3,1,,ImgRes,Resolución,Resolución de la imagen (ej: 1080p),A,40,,,,,,
imagen,4,1,,ImgFecCap,Fecha Captura,Fecha en que se capturó la imagen,D,,,,,,,
imagen,5,1,,ImgProc,Procesada,Si la imagen ha sido procesada por IA,A,40,,,,Sí/No,,
mapa_parcela,1,1,FK,MapParUsu,Usuario,Propietario del mapa,A,,,,,Ref usuario,,
mapa_parcela,2,1,FK,MapParZon,Zona Geográfica,Zona a la que pertenece la parcela,A,,,,,Ref zona_geografica,,
mapa_parcela,3,1,,MapParImgMap,Imagen del Mapa,Nombre del archivo del mapa,A,130,,,,Único,,
mapa_parcela,4,1,,MapParAnc,Ancho,Ancho del mapa en pixeles,N,,,,,,,
mapa_parcela,5,1,,MapParAlt,Alto,Alto del mapa en pixeles,N,,,,,,,
mapa_parcela,6,1,,MapParFecSub,Fecha Subida,Fecha en que se subió el mapa,D,,,,,,,
mapa_parcela,7,1,,MapParNom,Nombre,Nombre de la parcela,A,80,,,,Único,,
mapa_parcela,8,1,,MapParCom,Comentarios,Observaciones sobre el mapa,A,160,,,,,,
ubicacion,1,1,FK,UbiMapPar,Mapa Parcela,Mapa al que pertenece la ubicación,A,,,,,Ref mapa_parcela,,
ubicacion,2,1,,UbiX,Coordenada X,Posición X dentro del mapa,N,10,2,,,>=0,,
ubicacion,3,1,,UbiY,Coordenada Y,Posición Y dentro del mapa,N,10,2,,,>=0,,
ubicacion,4,1,,UbiCom,Comentario,Observaciones o detalles adicionales,A,160,,,,,,
captura,1,1,FK,CapUsu,Usuario,Usuario que realizó la captura,A,,,,,Ref usuario,,
captura,2,1,FK,CapImg,Imagen,Imagen asociada a la captura,A,,,,,Ref imagen,,
captura,3,1,FK,CapUbi,Ubicación,Ubicación sobre el mapa,A,,,,,Ref ubicacion,,
captura,4,1,,CapFec,Fecha,Fecha de la captura,D,,,,,Obligatoria,,
captura,5,1,,CapNot,Notas,Observaciones de la captura,A,160,,,,,,
cultivo,1,1,K,CulNom,Nombre,Nombre del cultivo,A,80,,,,Único,,Clave primaria.
cultivo,2,1,,CulDes,Descripción,Descripción del tipo de cultivo,A,160,,,,,,
plaga,1,1,K,PlaNom,Nombre,Nombre de la plaga,A,80,,,,Único,,Clave primaria.
plaga,2,1,,PlaDes,Descripción,Descripción de la plaga,A,160,,,,,,
plaga,3,1,,PlaTip,Tipo,Tipo o categoría de la plaga,A,40,,,,,,
plaga,4,1,,PlaGrav,Gravedad,Nivel de gravedad que puede causar,A,40,,,,,,
